bias,cand_sampler,n_voters,n_candidates,time_steps,trial,ks_distance_start,cs_distance_start,ks_distance_true,cs_distance_true,entrywise_distance
1.3,Sample,14,3,111.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,116.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,121.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,126.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,131.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,136.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,141.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,146.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,151.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,1.,6,0.,0.,10.,10.,0.
1.3,Sample,14,3,6.,6,20.,20.,14.,14.,13.2293001502
1.3,Sample,14,3,11.,6,26.,26.,16.,16.,13.7997556677
1.3,Sample,14,3,16.,6,26.,26.,16.,16.,13.8249037693
1.3,Sample,14,3,21.,6,26.,26.,16.,16.,13.8260329829
1.3,Sample,14,3,26.,6,26.,26.,16.,16.,13.8260844636
1.3,Sample,14,3,31.,6,26.,26.,16.,16.,13.8260868402
1.3,Sample,14,3,36.,6,26.,26.,16.,16.,13.826086951
1.3,Sample,14,3,41.,6,26.,26.,16.,16.,13.8260869563
1.3,Sample,14,3,46.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,51.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,56.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,61.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,66.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,71.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,76.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,81.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,86.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,91.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,96.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,101.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,106.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,111.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,116.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,121.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,126.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,131.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,136.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,141.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,146.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,151.,6,26.,26.,16.,16.,13.8260869565
1.3,Sample,14,3,1.,7,0.,0.,12.,12.,0.
1.3,Sample,14,3,6.,7,12.,12.,0.,0.,13.2293001502
1.3,Sample,14,3,11.,7,12.,12.,0.,0.,13.7997556677
1.3,Sample,14,3,16.,7,12.,12.,0.,0.,13.8249037693
1.3,Sample,14,3,21.,7,12.,12.,0.,0.,13.8260329829
1.3,Sample,14,3,26.,7,12.,12.,0.,0.,13.8260844636
1.3,Sample,14,3,31.,7,12.,12.,0.,0.,13.8260868402
1.3,Sample,14,3,36.,7,12.,12.,0.,0.,13.826086951
1.3,Sample,14,3,41.,7,12.,12.,0.,0.,13.8260869563
1.3,Sample,14,3,46.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,51.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,56.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,61.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,66.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,71.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,76.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,81.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,86.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,91.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,96.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,101.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,106.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,111.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,116.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,121.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,126.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,131.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,136.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,141.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,146.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,151.,7,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,1.,8,4.,4.,18.,18.,0.
1.3,Sample,14,3,6.,8,30.,28.,20.,20.,13.2293001502
1.3,Sample,14,3,11.,8,30.,28.,20.,20.,13.7997556677
1.3,Sample,14,3,16.,8,30.,28.,20.,20.,13.8249037693
1.3,Sample,14,3,21.,8,30.,28.,20.,20.,13.8260329829
1.3,Sample,14,3,26.,8,30.,28.,20.,20.,13.8260844636
1.3,Sample,14,3,31.,8,30.,28.,20.,20.,13.8260868402
1.3,Sample,14,3,36.,8,30.,28.,20.,20.,13.826086951
1.3,Sample,14,3,41.,8,30.,28.,20.,20.,13.8260869563
1.3,Sample,14,3,46.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,51.,8,30.,28.,20.,20.,13.8260869565
