bias,cand_sampler,n_voters,n_candidates,time_steps,trial,sparse,grouped,credibility,knowledge,ego,selfknowledge,similarity,meta,substantative,cyclic_start,condorcet_start,unique_start,proximity_to_voter_sp_start,proximity_to_cand_sp_start,cyclic_end,condorcet_end,unique_end,proximity_to_voter_sp_end,proximity_to_cand_sp_end,cyclic_true,condorcet_true,unique_true,proximity_to_voter_sp_true,proximity_to_cand_sp_true
3.,Sample,6,4,0.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,6,3,2,false,false,5,4,2
3.,Sample,6,4,1.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,true,6,4,2,false,false,5,4,2
3.,Sample,6,4,2.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,6,4,2,false,false,5,4,2
3.,Sample,6,4,3.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,6,4,3,false,false,5,4,2
3.,Sample,6,4,4.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,true,5,4,3,false,false,5,4,2
3.,Sample,6,4,5.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,true,5,4,3,false,false,5,4,2
3.,Sample,6,4,6.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,5,4,3,false,false,5,4,2
3.,Sample,6,4,7.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,5,4,3,false,false,5,4,2
3.,Sample,6,4,8.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,5,4,3,false,false,5,4,2
3.,Sample,6,4,9.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,5,4,3,false,false,5,4,2
3.,Sample,6,4,10.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,5,4,3,false,false,5,4,2
3.,Sample,6,4,11.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,12.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,13.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,14.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,15.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,16.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,17.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,18.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,19.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Sample,6,4,20.,1,false,true,false,false,false,false,true,true,true,false,false,6,3,2,false,false,4,5,3,false,false,5,4,2
3.,Voter,5,7,0.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,2,4,false,true,5,3,4
3.,Voter,5,7,1.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,2,4,false,true,5,3,4
3.,Voter,5,7,2.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,2,4,false,true,5,3,4
3.,Voter,5,7,3.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,3,5,false,true,5,3,4
3.,Voter,5,7,4.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,3,4,false,true,5,3,4
3.,Voter,5,7,5.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,3,5,false,true,5,3,4
3.,Voter,5,7,6.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,true,false,5,3,5,false,true,5,3,4
3.,Voter,5,7,7.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,8.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,9.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,10.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,11.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,12.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,13.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,14.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,15.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,16.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,17.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,18.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,19.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,5,7,20.,1,false,true,false,false,false,false,true,true,true,false,true,5,2,4,false,true,5,4,5,false,true,5,3,4
3.,Voter,6,3,0.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,4,5,2,false,true,3,5,2
3.,Voter,6,3,1.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,3,6,3,false,true,3,5,2
3.,Voter,6,3,2.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,3,6,3,false,true,3,5,2
3.,Voter,6,3,3.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,3,6,3,false,true,3,5,2
3.,Voter,6,3,4.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,5.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,6.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,7.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,false,2,6,3,false,true,3,5,2
3.,Voter,6,3,8.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
